"Compulsive","Gender"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"yes","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
"no","Female"
